Timestamp,Governorate,Gov_Source,Branch,Segment_From,Segment_To,Segment_ID,Depth_Level,Is_End_Segment,Pipe_Length_m,Pipe_Age_Years,HW_Coefficient,hour,day_of_week,month,year,is_ramadan,is_eid,is_summer,is_winter,is_weekend,supply_on,environment_code,population_density,nrw_rate,elevation_m,Flow_In,Flow_Out,Flow_Loss,Flow_Loss_Pct,Bg_Loss_Rate_Pct,Excess_Loss_Pct,Pressure_In,Pressure_Out,DP_Actual,DP_Predicted,DP_Deviation,Flow_DP_Ratio,Velocity_Proxy,Anomaly_Type,Anomaly_Label,Anomaly_Binary,Fault_Here,Severity
2019-01-03T11:30:00,Amman,King-Abdullah-Canal / Zai-WTP,Amman-North,Shmeisani,Rabieh,Shmeisani→Rabieh,2,0,710,25,126,11,3,1,2019,0,0,0,1,1,0,0,5540,0.43,780,34.0464,30.3463,3.7001,10.8678,0.5312,10.3366,88.4389,82.0243,6.4147,3.1505,3.2642,0.5768,4.7953,leak,1,1,1,0.1025
2019-01-12T18:48:00,Mafraq,Mafraq-Groundwater-Wells,Mafraq-Central,Rhab,Umm-Al-Jimal,Rhab→Umm-Al-Jimal,3,1,850,22,130,18,5,1,2019,0,0,0,1,0,1,4,13,0.5,690,12.3061,12.3048,0.0012,0.01,0.5125,0.0,44.9423,43.8434,1.0989,0.5849,0.5139,0.0011,1.4478,normal,0,0,0,0.0
2019-01-13T17:54:00,Irbid,Yarmouk-River-WTP,Irbid-North,IRB-Main,Al-Huson,IRB-Main→Al-Huson,1,0,680,18,135,17,6,1,2019,0,0,0,1,0,1,0,3280,0.45,620,182.3345,182.3163,0.0182,0.01,0.3,0.0,45.394,0.5,44.894,60.0,-15.106,0.0004,26.8139,normal,0,0,0,0.0
2019-01-08T01:24:00,Zarqa,Zarqa-Municipal-Reservoirs,Zarqa-Industrial,ZRQ-Main,Ind-Zone-ZRQ,ZRQ-Main→Ind-Zone-ZRQ,1,0,800,30,112,1,1,1,2019,0,0,0,1,0,1,1,4120,0.52,580,62.0332,32.5858,29.4475,47.4705,0.7875,46.683,79.4764,41.9594,37.517,11.0531,26.4639,0.7849,7.7542,burst,2,1,1,0.4649
2019-01-07T13:16:00,Jerash,Jerash-WAJ-Supply,Jerash-South,Burma,Rihaba,Burma→Rihaba,2,0,660,32,113,13,0,1,2019,0,0,0,1,0,1,2,585,0.48,510,10.662,9.4005,1.2615,11.8315,0.805,11.0265,73.4787,69.0868,4.3919,0.3518,4.0402,0.2872,1.6155,leak,1,1,1,0.1181
2019-01-06T02:58:00,Balqa,Balqa-WAJ-Supply,Salt-District,BLQ-Main,Salt-City,BLQ-Main→Salt-City,1,0,720,25,125,2,6,1,2019,0,0,0,1,0,1,2,720,0.47,850,49.2048,48.3416,0.8632,1.7544,0.5312,1.2231,62.292,55.6123,6.6797,6.3976,0.2821,0.1292,6.834,normal,0,0,0,0.0
2019-01-08T23:20:00,Zarqa,Zarqa-Municipal-Reservoirs,Zarqa-Old-City,ZRQ-Main,Zarqa-Center,ZRQ-Main→Zarqa-Center,1,0,920,42,96,23,1,1,2019,0,0,0,1,0,1,1,4120,0.52,580,49.5502,46.8973,2.6528,5.3538,1.275,4.0788,39.7231,30.4947,9.2284,8.2839,0.9445,0.2875,5.3859,leak,1,1,1,0.0448
2019-01-06T18:50:00,Balqa,Balqa-WAJ-Supply,Jordan-Valley,Rama,Karameh,Rama→Karameh,3,1,740,30,117,18,6,1,2019,0,0,0,1,0,1,2,720,0.47,850,52.963,34.6684,18.2946,34.5422,0.7875,33.7547,67.7477,39.0803,28.6674,7.5624,21.105,0.6382,7.1572,burst,2,1,1,0.3586
2019-01-07T08:08:00,Amman,King-Abdullah-Canal / Zai-WTP,Amman-South,Yadoudeh,Muwaqqar,Yadoudeh→Muwaqqar,3,1,720,40,102,8,0,1,2019,0,0,0,1,0,1,0,5540,0.43,780,182.7672,179.2269,3.5403,1.9371,1.0,0.9371,0.5,0.5,0.0,60.0,-60.0,35.403,25.3843,normal,0,0,0,0.0
2019-01-14T23:46:00,Aqaba,Aqaba-Desalination-Plant,Aqaba-Residential,Quweira,Wadi-Rum-Twn,Quweira→Wadi-Rum-Twn,3,1,520,25,128,23,0,1,2019,0,0,0,1,0,1,5,310,0.41,10,121.2536,75.0952,46.1584,38.0676,0.5312,37.5364,18.6421,0.5,18.1421,26.1933,-8.0512,2.5443,23.318,burst,2,1,1,0.3755
